-0,04337773303146264 0,9999999999999997
12,326505803110628 0,927380253823819
23,223554644563684 0,8709088722266943
33,82740214237804 0,8026053427199877
45,60927640853793 0,7350262764263654
54,4446779939673 0,6989961138713843
62,98527165305311 0,6689215239819096
72,99910165250421 0,6281885857038331
81,24528903092272 0,6011605182891864
89,19707012867391 0,5752953443826289
99,21130177380121 0,5368799890082773
109,22513177325229 0,5041875151216094
119,53176147066583 0,48553552307470255
130,13520732280398 0,4502760566294984
140,14903732225508 0,42285719482698736
148,10001512865384 0,40978037884247354
154,57896153171598 0,3971079620697618
161,05830958045436 0,3824172878103999
167,2432513485254 0,3682700826597153
175,19463080060038 0,35464624143622525
181,96798348432984 0,34367884228683043
190,50938043476808 0,32478516204248375
196,98832683783027 0,3147412137533509
204,35089372857058 0,3030976279054438
212,30307647199797 0,288240122597528
225,85018348513316 0,2689928840254631
232,9183440952061 0,2590417190659195
239,3972904982683 0,25103088010189734
250,29393769404513 0,23723050429597614
261,484589524813 0,2256017314113642
267,0811203772256 0,2158951258724948
272,9704509276007 0,21186406402954017
283,5730934883864 0,19896293058703027
296,2361783681672 0,18802498059285475
308,3116556236419 0,17437065422742026
317,7350664790535 0,1679199588842812
