T_10,x_10,T_8,x_8,T_6,x_6,T_4,x_4,T_4.5,x_4.5,T_4.7,x_4.7,T_5,x_5,T_5.2,x_5.2
0.507859,0.788,0.496708,0.79,0.502808,0.7930666666666666,0.503742,0.7932,0.498581,0.7933333333333333,0.495916,0.7934666666666667,0.489702,0.7930666666666666,0.499771,0.7936000000000001
0.99964,0.7845333333333334,0.997467,0.7885333333333333,0.999253,0.7906666666666666,0.992874,0.7954666666666667,1.001848,0.7944,1.003519,0.7936000000000001,0.991634,0.7938666666666666,0.997658,0.7933333333333333
1.491568,0.7829333333333334,1.498615,0.7862666666666667,1.506338,0.7925333333333333,1.49804,0.7966666666666666,1.5017877,0.7954666666666667,1.4934549,0.7944,1.496913,0.7938666666666666,1.505047,0.7939999999999999
2.0014538,0.778,2.0053404,0.7856000000000001,2.00368,0.7913333333333333,1.98962,0.7966666666666666,2.00421914,0.7966666666666666,1.99681925,0.7949333333333333,1.9937365,0.7948,2.0022266,0.7945333333333334
2.50846189,0.7766666666666666,2.49724574,0.7845333333333334,2.5012818,0.7916,2.507275,0.7989333333333334,2.503158725,0.7966666666666666,2.510460716,0.7958666666666666,2.50512892,0.7958666666666666,2.499504,0.7949333333333333
2.996872912,0.7746666666666667,3.009201385,0.7833333333333333,3.005078,0.7914666666666667,2.9987952,0.8024,2.98961557,0.7966666666666666,3.0068815187,0.7966666666666666,3.002394923,0.7966666666666666,3.0090697,0.7966666666666666
3.4921588862,0.77,3.4949255405,0.7833333333333333,3.50240413,0.7918666666666667,3.49801726,0.8033333333333333,3.4949720404,0.7994666666666667,3.50174131696,0.7976,3.5019104752,0.7966666666666666,3.50401389,0.7966666666666666
3.99613511973,0.7692,4.00858401532,0.7833333333333333,3.993266466,0.7909333333333334,3.99247672,0.8033333333333333,3.997693034,0.8024,4.002248509054,0.8018666666666667,3.99987502338,0.7966666666666666,4.004456052,0.7966666666666666
4.49514985308,0.7649333333333334,4.498397788558,0.7810666666666667,4.4936247755,0.7910666666666667,4.494606441,0.8064,4.49021239095,0.8033333333333333,4.5070627486414,0.8030666666666666,4.498452120266,0.7966666666666666,4.4927556426,0.7966666666666666
5.001590737529,0.7634666666666666,4.994116119688,0.7793333333333333,4.9994976574,0.7919999999999999,5.0012628589,0.8085333333333333,5.00051304433,0.8033333333333333,5.00463338729502,0.8033333333333333,4.9941486268798,0.8008000000000001,5.0099036155,0.7966666666666666
5.500243720514,0.7593333333333334,5.5102649889132,0.7772,5.5085590873,0.7904,5.5005189553,0.8094666666666667,5.507577766644,0.8041333333333334,5.50003851495953,0.8033333333333333,5.50392242242483,0.8024,5.49775721397,0.7966666666666666
6.0044898229605,0.7566666666666667,6.00141381555605,0.7766666666666666,6.00418292505,0.7898666666666667,6.0010729876,0.8089333333333334,6.005300494977,0.8033333333333333,5.990276440350037,0.8033333333333333,5.99941356490063,0.8022666666666667,5.9975404986,0.7966666666666666
6.49408982098775,0.7550666666666667,6.493509050207656,0.7761333333333333,6.508011300434,0.7894666666666666,6.5079201962,0.8089333333333334,6.491989968498,0.8033333333333333,6.508851538656839,0.8033333333333333,6.493871192967795,0.8019999999999999,6.506173036215,0.7961333333333334
6.997262403454237,0.752,6.995124873887425,0.7741333333333333,6.9990848992061,0.7877333333333333,6.99974225273,0.8076,6.9922758578697,0.8030666666666666,6.993052820752295,0.8025333333333333,6.999150079885263,0.8012,7.0058915398816,0.7942666666666667
7.499929533297016,0.7504000000000001,7.500762316697993,0.7721333333333333,7.50922717771484,0.7861333333333334,7.49704878883,0.8046666666666666,7.4977220430332,0.8025333333333333,7.506299419745727,0.8017333333333334,7.493283376550377,0.8017333333333334,7.50639634929385,0.7937333333333334
8.007591791888206,0.7501333333333333,8.001410270835747,0.7702666666666667,8.004096996333788,0.7856000000000001,7.996584787136,0.8034666666666667,8.00619129256847,0.8,7.995152800874819,0.8010666666666666,8.00059415478196,0.8,8.006333224257009,0.7929333333333333
8.502018588389296,0.7494666666666667,8.501100712861641,0.77,8.50499110280354,0.7845333333333334,8.4952545381696,0.8033333333333333,8.495421736521449,0.7993333333333333,8.496064796945879,0.8002666666666667,8.502614420143574,0.7968,8.496389371655601,0.7922666666666667
8.996264056822406,0.7485333333333334,9.00063024522493,0.7692,8.990358177299356,0.7833333333333333,8.99778706727181,0.8021333333333333,9.003147355161232,0.7966666666666666,8.99689307285058,0.7985333333333333,8.99901466373096,0.7966666666666666,8.994038369616774,0.7886666666666666
9.501251870143332,0.7478666666666667,9.49264577700304,0.7674666666666667,9.495169364433789,0.7833333333333333,9.493281245102816,0.8001333333333333,9.504002397840363,0.7966666666666666,9.50618075293966,0.7968,9.493411191273523,0.7949333333333333,9.495968542867304,0.7877333333333333
10.004381777697589,0.7468,9.99645652668268,0.7669333333333334,10.00673162958157,0.7825333333333333,10.00096604923063,0.8,9.992450338650684,0.7945333333333334,10.002962704453374,0.7966666666666666,9.99964509030853,0.7930666666666666,9.993820611641652,0.7866666666666666
10.50284184374751,0.7468,10.493017003231222,0.7669333333333334,10.504273015719,0.7802666666666667,10.502977461699365,0.8009333333333334,10.493265164974549,0.7934666666666667,10.500506610703582,0.7949333333333333,10.50486333484538,0.7929333333333333,10.499553741445201,0.7865333333333333
10.994434118433128,0.7465333333333334,11.00640688297413,0.7666666666666667,11.000801904319914,0.7794666666666666,11.001229879221842,0.8006666666666666,11.000380452254936,0.7928000000000001,10.99751992376215,0.7938666666666666,10.994686455605944,0.7933333333333333,11.001267754843521,0.7861333333333334
11.496979039551396,0.7454666666666666,11.49772623804451,0.7667999999999999,11.493556213118769,0.7794666666666666,11.506514338464772,0.8004,11.494851461972084,0.7929333333333333,11.496250693995837,0.7936000000000001,11.49559076030433,0.7930666666666666,11.507924397396199,0.7858666666666666
