-0,04413770965411601 1,0126445411867953
2,310809726346214 0,9813286111640362
4,077120616322929 0,9569745964352978
6,137549153358478 0,9332249847848556
7,903458791429273 0,9158003782225015
10,258406227429589 0,8874793441451135
12,025118369312267 0,8600341351823312
14,674183452371409 0,8334376665310615
17,027927132653886 0,8230308194366921
19,383275820560158 0,7925834881599748
22,621378701548835 0,7584822637231727
25,5653639354787 0,7258482582298147
28,508145413690727 0,707834599022641
31,15721049674987 0,6859448856344642
33,51255918465614 0,6605689329030988
36,16122301580934 0,6441753361626692
38,81028809886847 0,6242542790402803
41,46015568573954 0,5973954867575803
44,69705481101035 0,5825696900592467
47,34531739025762 0,5716923048521039
49,11162828023434 0,5575043940398845
51,760693363293484 0,540263627037208
53,82072064842309 0,5301761547828683
56,17526683251748 0,5170185664526026
58,5294117647059 0,5073651117629536
61,767113393788634 0,4885955672072973
63,82754193082418 0,4764699005297019
66,76992215713028 0,46757354574827886
70,00722253430705 0,45311388113389633
72,95080651633096 0,43635131511673875
76,4822245405666 0,42285719482698736
78,83677072466095 0,41236298296583135
81,19051440494344 0,4072139494106704
83,54465933713185 0,3996106994217954
85,89880426932031 0,39214941266987974
90,01845758767358 0,380022231742954
92,96244282160343 0,3636716218586547
96,19934194687427 0,35464624143622525
102,96725784447479 0,3372618809877993
