"T.gas","T.liquid","U.gas:0","U.gas:1","U.gas:2","U.liquid:0","U.liquid:1","U.liquid:2","air.gas","alpha.gas","alpha.liquid","alphat.gas","alphat.liquid","d.gas","k.gas","k.liquid","nut.gas","nut.liquid","omega.gas","omega.liquid","p","p_rgh","particle.gas","particle.liquid","particleMass_inAir","water.liquid","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
350,350,0.03521,0.13406,-0.0054133,0.034991,0.047726,-0.0022981,1,0.13408,0.86592,0.34218,1.7918,0.00057861,0.038611,0.013696,0.0024572,0.001351,15.712,9.6328,1.3939e+07,1.394e+07,0,0.18181,17.803,0.81819,1,0.0034,0,0.15,0.0034
350,350,0.037353,0.13376,-0.0056676,0.037111,0.047419,-0.0023614,1,0.13366,0.86634,0.34218,1.7862,0.00057861,0.038613,0.0137,0.0024572,0.0013468,15.712,9.6357,1.3939e+07,1.394e+07,0,0.18181,17.736,0.81819,1,0.0036,0,0.15,0.0036
350,350,0.039496,0.13345,-0.005922,0.03923,0.047111,-0.0024247,1,0.13324,0.86676,0.34218,1.7807,0.00057861,0.038616,0.013703,0.0024572,0.0013426,15.713,9.6385,1.3939e+07,1.394e+07,0,0.18181,17.668,0.81819,1,0.0038,0,0.15,0.0038
350,350,0.041639,0.13315,-0.0061763,0.04135,0.046803,-0.002488,1,0.13283,0.86717,0.34217,1.7752,0.00057861,0.038618,0.013706,0.0024572,0.0013385,15.714,9.6413,1.3939e+07,1.394e+07,0,0.18181,17.6,0.81819,1,0.004,0,0.15,0.004
350,350,0.043782,0.13284,-0.0064306,0.043469,0.046495,-0.0025513,1,0.13241,0.86759,0.34217,1.7696,0.00057861,0.03862,0.013709,0.0024571,0.0013343,15.715,9.6441,1.3939e+07,1.394e+07,0,0.18181,17.532,0.81819,1,0.0042,0,0.15,0.0042
350,350,0.045925,0.13254,-0.006685,0.045589,0.046188,-0.0026146,1,0.13199,0.86801,0.34217,1.7641,0.00057861,0.038623,0.013712,0.0024571,0.0013301,15.716,9.6469,1.3939e+07,1.394e+07,0,0.18181,17.465,0.81819,1,0.0044,0,0.15,0.0044
350,350,0.048068,0.13223,-0.0069393,0.047708,0.04588,-0.0026779,1,0.13157,0.86843,0.34217,1.7586,0.00057861,0.038625,0.013715,0.0024571,0.001326,15.717,9.6497,1.3939e+07,1.394e+07,0,0.18181,17.397,0.81819,1,0.0046,0,0.15,0.0046
350,350,0.050211,0.13193,-0.0071936,0.049828,0.045572,-0.0027412,1,0.13116,0.86884,0.34216,1.753,0.00057861,0.038628,0.013719,0.0024571,0.0013218,15.718,9.6525,1.3939e+07,1.394e+07,0,0.18181,17.329,0.81819,1,0.0048,0,0.15,0.0048
350,350,0.052353,0.13162,-0.007448,0.051947,0.045264,-0.0028045,1,0.13074,0.86926,0.34216,1.7475,0.00057861,0.03863,0.013722,0.0024571,0.0013176,15.719,9.6553,1.3939e+07,1.394e+07,0,0.18181,17.262,0.81819,1,0.005,0,0.15,0.005
350,350,0.054496,0.13132,-0.0077023,0.054067,0.044956,-0.0028678,1,0.13032,0.86968,0.34216,1.742,0.00057861,0.038632,0.013725,0.002457,0.0013134,15.719,9.6581,1.3939e+07,1.394e+07,0,0.18181,17.194,0.81819,1,0.0052,0,0.15,0.0052
