1,724666533677322 0,975182610135202
10,26807171249667 0,8930726031978246
17,92865969499028 0,8127539190327528
26,473671456514502 0,7258482582298147
31,18738511260137 0,6902679918189034
35,902303705716896 0,6441753361626692
43,8568963232016 0,5899360164993797
50,33704766329242 0,5610180155336821
55,051564610731724 0,526855693975256
60,943305035164094 0,4978919004794255
67,42466131228355 0,4646451612494148
73,90521429805057 0,43910138018534045
81,8598069155353 0,4021292100517574
88,92917246263696 0,380022231742954
95,9989396554148 0,35688136759832634
101,89068007984719 0,3372618809877993
109,84406776030326 0,3147412137533509
115,44100025839208 0,2993129529441995
124,8676242792134 0,2741109155131919
133,70463244734762 0,2542050504045033
142,2468326891383 0,23723050429597614
150,78943457660523 0,22000288528875495
159,92205396243546 0,20021687663095963
171,7031249372429 0,18567717786983165
182,89658828774432 0,1689782593803509
188,19911450516588 0,16069513488671694
193,7956453575785 0,15378116185733173
202,0434393187019 0,14351242243450582
207,34516224477093 0,13820330136030562
215,00293870753106 0,1314287307451479
222,3663088896238 0,12498624197295642
228,25604108567504 0,12188440967817767
234,1473798644312 0,11590977280536569
238,8598885834895 0,11232527480385308
246,51846833760194 0,10548540148296247
251,52578498300372 0,10158305798869637
259,18235650873515 0,0984416121939621
262,12923083514187 0,09420612210175698
270,0802086415406 0,0912928073032625
278,03239138496804 0,08681773642113107
283,92373016372414 0,08256202848764439
291,58070333513183 0,07950771585089332
299,5320827872068 0,07656639493508105
312,7851851653508 0,07100616276927026
